rank,city,state,estimate2019,census2010,change,land_area2016,land_area2016_2,population_density2016,population_density2016_2,lat,long,other
181,Paterson,New Jersey,145233,146199,0.6599999999999999,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40.91479999999999,-74.16279999999999,Paterson)
182,Savannah,Georgia,144464,136286,6,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32.002500000000005,-81.1536,Savannah)
183,Bridgeport,Connecticut,144399,144229,0.12000000000000001,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41.1874,-73.19579999999999,Bridgeport)
184,Torrance,California,143592,145438,1.27,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33.835,-118.34140000000001,Torrance)
185,McAllen,Texas,143268,129877,10.31,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26.2322,-98.24640000000001,McAllen)
186,Syracuse,New York,142327,145170,1.96,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43.041,-76.1436,Syracuse)
187,Surprise,Arizona,141664,117517,20.55,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33.6706,-112.4527,Surprise)
188,Denton,Texas,141541,113383,24.830000000000002,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33.2166,-97.1414,Denton)
189,Roseville,California,141500,118788,19.12,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38.769000000000005,-121.3189,Roseville)
190,Thornton,Colorado,141464,118772,19.110000000000003,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39.919399999999996,-104.9428,Thornton)
191,Miramar,Florida,141191,122041,15.69,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25.977,-80.33579999999999,Miramar)
192,Pasadena,California,141029,137122,2.8499999999999996,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34.1606,-118.1396,Pasadena)
193,Mesquite,Texas,140937,139824,0.8,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32.76290000000001,-96.58879999999999,Mesquite)
194,Olathe,Kansas,140545,125872,11.66,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38.884299999999996,-94.8195,Olathe)
195,Dayton,Ohio,140407,141527,0.7899999999999999,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39.7774,-84.1996,Dayton)
196,Carrollton,Texas,139248,119097,16.919999999999998,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32.9884,-96.8998,Carrollton)
